,ids,Chemistry,Physics,Signals Processing,Calculus,Electrical Engineering I,Engineering Drawing,Bioengineering I,Computer Science I,Linear Algebra,Mechanics I,Quantum Computing I,Metallurgy I,Metallurgy II,DSA,Probability and Statistics,Theory of Computation,Chemistry Lab,Mechanics Workshop,Physics Lab,Biochemistry Lab,Computer Architecture,Works of Charles Dickens,Electronics,UI Design I,Thermodynamics,Operating Systems,Machine Learning I,Works of Arthur Conan Doyle,Works of George Lucas,Works of Tolkien,Commonwealth Literature,Works of Shakespeare
26,R027,B,B-,C,A-,C,B,A-,C-,B-,D,C,A-,C,D,B-,C-,B-,C,C-,B-,C,B,C,B,B-,D,D,B-,B-,B-,B-,B-
27,R028,B-,C,C,C,B-,B,C,B,B-,B-,B-,A-,A-,B-,B,C,A-,B-,B-,B-,C,B-,B-,A-,C,D,C-,B-,B-,B-,B-,B
28,R029,B-,B-,C,B-,B-,C,B-,B-,C-,B,C,A-,C-,B-,B,C-,B-,B-,B-,B-,C,B-,C,B,C,C,B-,B,B-,B-,B-,B-
29,R030,B-,A-,A,B-,B-,D,B,A-,A,B,A-,A-,B-,B-,B-,B-,B-,B-,B-,B,C,B-,C,A-,B,B-,B,B-,B-,B-,B-,B
30,R031,C,C-,C,C-,B,B,C,A,C-,C-,C-,B,D,B-,C,C-,B-,B-,C,B-,C-,B-,C,B,C-,C,B-,B-,B-,B-,B-,B-
31,R032,A-,B,B-,A,B-,B,B,B-,B-,B-,C,A-,B,B,B-,C-,B-,C-,B,B-,B-,B-,B-,B,B,C,B,A-,B-,B-,B-,B-
32,R033,B-,B,A,B,B-,B,B,A-,B,B,B-,A-,B-,A-,A-,C,B-,C,B,B-,B-,B-,B-,B,B,B-,B,B-,B-,B-,B-,B
33,R034,A-,A-,A,A-,B,C,A-,B,A,B-,B-,A-,B,C,A,B-,B-,B-,B-,A-,B-,B-,A-,A-,A-,C,B,B-,B-,B-,B-,A-
34,R035,B-,B-,B,B,B,B,A-,B-,B-,C,B-,A-,C-,C-,B,C-,B-,B-,C-,B,C,B-,B-,B-,C,D,D,B-,B-,B-,C,B-
35,R036,C,C,C,C,B-,B-,B-,A-,C-,C,C-,A-,C-,C,C,B-,B-,A-,B-,A-,C,B-,B-,B,C-,C,C,B-,B-,B,B-,B-
36,R037,B,B,A-,B-,C,B,A-,A-,A-,B,C,A-,B-,B-,A-,B-,A-,B-,B-,A-,C-,B-,B,B-,B,C-,B,B-,B-,B-,B-,B-
37,R038,B-,A-,B,B-,B,A-,B,B,C,B,B-,B,C,B-,A,B-,B-,B,B-,A-,B,B-,B,A-,B,B-,A-,B-,B-,B-,B-,B-
38,R039,A,A,B,A,A-,A-,A,A,A,A-,B-,A-,B,A-,A,A-,B-,B-,B-,B,B-,B-,B-,B,A-,B,A,B-,A,B-,B-,B-
39,R040,A-,B,B-,B-,B,A-,B,A,A-,B,B-,A-,A-,B-,B-,B-,A-,B,B,A-,B-,B-,B,B,B-,A-,B,B-,A-,B-,B-,B-
40,R041,B-,C,A-,B,C,B-,B,B,B,B-,B,A-,B-,B-,B,D,B-,C-,C,B-,D,B-,C,B,C,D,C-,B-,B-,B-,B-,B-
41,R042,C,B-,B-,C-,C-,C,C,B,B-,C,B-,A-,B-,D,B,C-,C,C,B-,A-,C-,B-,C,A-,C-,C-,B-,B-,B-,B-,D,B-
42,R043,A-,B-,B-,B-,B-,B,B,B,B-,B-,B-,A-,B-,B-,B,C,A-,C,B,A-,B-,B-,B,B,B,B-,C-,B,B-,B-,B-,B-
43,R044,B,B,C,A-,B-,B,B,B-,B-,B-,B-,B,B-,B,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,C-,B-
44,R045,C,B,B-,B,C,B,C,B-,C,C,B-,A-,B-,D,B-,D,B-,B,C,A-,C-,B,C,B,B-,C,B,B-,B-,B-,B-,B-
45,R046,B-,B,B,A-,A,B-,A,A,A-,A-,B-,A-,B,B,B-,B-,B-,A,B-,A-,A-,B-,B,A-,B,B,B,A-,B-,B-,B-,B-
46,R047,A-,B,A,A-,B-,A,B,A-,A-,B-,B-,A-,C,C,B-,B-,B-,C,B-,B,C-,B-,B-,B-,C,C-,C,B-,B-,B-,D,B-
47,R048,A-,B,A-,A-,B,A,A-,B,B,B,B-,A-,C,B-,B-,B-,B,B-,B,A,B,B-,B-,B,B,C,B,B-,A,B-,B-,B-
48,R049,A-,A-,A,B-,B,B-,B,A-,A-,A-,B-,A-,A-,B-,B-,B-,A-,A-,A-,A,B,B-,A-,B,B,B-,B,A-,B-,B-,B-,B-
49,R050,B,A-,B-,A-,A,B-,A-,B,A-,B,B-,A,C-,C,B-,C-,A,B,A,A,C,B-,B-,B,C-,D,B,B-,B-,B-,A,B-
50,R051,B,A-,B,B-,A,B,A,A-,A,B,B-,A-,B-,B-,A-,C,B-,B-,B-,B,B-,B-,B-,A-,A-,C,B,B-,B-,A-,B-,B-
51,R052,A-,A,A,B-,A-,B-,B-,B,A-,A-,A-,A-,B-,B-,B,C,B-,A-,A-,B,A-,B-,B-,B-,B,C-,B-,B-,A-,B-,B-,B-
52,R053,A-,A-,B,A-,A,B,B-,B,A,B-,B,A-,B,B,B,C-,B-,C-,B,C,A-,B-,B-,B-,C,B-,B,B-,B-,B-,B-,B
53,R054,A-,A,A-,A-,A,B-,B,A-,A-,B,B-,A-,B,A-,B-,C-,B,B,A-,B-,B,B-,B-,A-,B-,C,B,B-,B-,A-,B-,B-
54,R055,A-,B,A-,A,A,A-,B-,B-,A-,B,B-,A-,B,B,B,C-,B,B-,B-,A,B-,B-,C,B,C,B-,B,B-,B-,B-,B-,B-
55,R056,B,B,B,A-,A-,B-,A-,A-,A-,B,B-,A,B,B,A-,C,B,B,B,B,B-,B-,B,A-,B,B,B-,B-,B-,B-,B-,B
56,R057,B-,A,B-,B-,A,A,B-,A,A,A-,B-,A-,B-,A-,A,B,B,A,A-,A-,A-,B-,B,A,C,A-,B,B-,A,B-,B-,B-
57,R058,A-,A,A,B,B,A-,A-,A,B,A-,C,A-,B,B-,B-,B-,B,B-,B,C-,B-,B-,B-,B,C-,C,A-,B-,B-,B-,C,B-
58,R059,B,A-,B,A,B,B,A-,A,B-,B,B-,A-,B,B,B,C,B-,C-,B-,D,B-,B-,B,B,B,C,B,A,B-,B-,B-,B-
59,R060,B-,A-,A-,A-,A-,B,A,A,B,B-,B-,A-,B,B,A-,B-,A-,A,B,B,B,B-,B-,B,B-,B,B,B-,A,B-,B-,B-
60,R061,B,A,B,A-,A-,A,A,A,B-,A,B-,A-,B,B-,B,B-,B,B-,A,A,B,B-,B,A-,B,A-,A,A,B-,B-,B-,B-
